,recp_id,zinc_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm,pair_chains_iptm,affinity_pred_value,affinity_probability_binary,affinity_pred_value1,affinity_probability_binary1,affinity_pred_value2,affinity_probability_binary2
10,0,ZINCoE00000060qk,0.93834203,0.9482464,0.9610874,0.9610874,0,0.9326557,0.8687813,0.3348153,0.4901041,[0.9480557 0.8163934],"[array([0.9480557 , 0.51488656], dtype=float32)
 array([0.9610874, 0.8163934], dtype=float32)]",-0.4691768,0.63437116,-1.0404062,0.8902561,0.102052614,0.37848622
11,0,ZINCnv000001GkVg,0.95497113,0.95017326,0.9635399,0.9635399,0,0.95282894,0.9524602,0.34066173,0.47763154,[0.94971836 0.9274293 ],"[array([0.94971836, 0.65648574], dtype=float32)
 array([0.9635399, 0.9274293], dtype=float32)]",0.66530335,0.5770497,-0.03760761,0.8288115,1.3682142,0.3252878
12,0,ZINCoz000005lmWl,0.9528441,0.9538068,0.97146153,0.97146153,0,0.9481896,0.9280432,0.31954488,0.41604245,[0.951811   0.91591805],"[array([0.951811  , 0.63740313], dtype=float32)
 array([0.97146153, 0.91591805], dtype=float32)]",0.3619408,0.7557471,0.7505917,0.83821857,-0.026710082,0.6732756
13,0,ZINCmK000003axpB,0.95012534,0.95887196,0.96778595,0.96778595,0,0.9457102,0.9242065,0.31465033,0.4490028,[0.9587702 0.9081239],"[array([0.9587702 , 0.63688123], dtype=float32)
 array([0.96778595, 0.9081239 ], dtype=float32)]",-0.021739677,0.493124,0.30091298,0.49644595,-0.34439233,0.48980206
14,0,ZINCnH000002yqBh,0.93478566,0.9559135,0.9637398,0.9637398,0,0.9275471,0.8509403,0.32214478,0.47510722,[0.9552794 0.8897341],"[array([0.9552794, 0.5986563], dtype=float32)
 array([0.9637398, 0.8897341], dtype=float32)]",-0.26128933,0.59946537,-0.8311879,0.71682805,0.30860925,0.4821027
15,0,ZINCiy000001Tcn3,0.9547171,0.96218926,0.97299737,0.97299737,0,0.950147,0.9341865,0.2985964,0.4005036,[0.96244454 0.9390681 ],"[array([0.96244454, 0.6564837 ], dtype=float32)
 array([0.97299737, 0.9390681 ], dtype=float32)]",-0.57879317,0.54971516,-0.8674219,0.76574713,-0.29016447,0.33368316
16,0,ZINCoH000003qJyQ,0.9541871,0.9620399,0.98124784,0.98124784,0,0.9474219,0.91191286,0.29575765,0.36924103,[0.96049386 0.9420144 ],"[array([0.96049386, 0.70223397], dtype=float32)
 array([0.98124784, 0.9420144 ], dtype=float32)]",-1.4272084,0.9119216,-1.6035937,0.98721164,-1.250823,0.83663154
17,0,ZINClx000001Ik0P,0.95585203,0.9420736,0.95938176,0.95938176,0,0.95496964,0.9530147,0.34135112,0.48750648,[0.9421578 0.8835776],"[array([0.9421578, 0.5635336], dtype=float32)
 array([0.95938176, 0.8835776 ], dtype=float32)]",-0.060283482,0.6419189,-0.825055,0.8980887,0.70448804,0.3857491
18,0,ZINCmz000000ycnR,0.94237673,0.9455659,0.971578,0.971578,0,0.9350764,0.860343,0.32489333,0.42672455,[0.9439763  0.96241224],"[array([0.9439763, 0.7070396], dtype=float32)
 array([0.971578  , 0.96241224], dtype=float32)]",-0.757208,0.76204175,-1.5311898,0.99065757,0.016773865,0.5334259
19,0,ZINCnr00000mNX9k,0.95569956,0.9591899,0.9615222,0.9615222,0,0.9542439,0.9395215,0.3165568,0.46389762,[0.95990217 0.89983046],"[array([0.95990217, 0.6327334 ], dtype=float32)
 array([0.9615222 , 0.89983046], dtype=float32)]",-0.26223353,0.5801381,-1.4123957,0.81430936,0.88792866,0.3459668
20,0,ZINCmw000004m6Pw,0.9627802,0.9592473,0.9813833,0.9813833,0,0.95812947,0.9637503,0.29933745,0.34878874,[0.95702887 0.896343  ],"[array([0.95702887, 0.6672259 ], dtype=float32)
 array([0.9813833, 0.896343 ], dtype=float32)]",-0.71809447,0.7844609,-1.1879119,0.97418445,-0.2482771,0.5947373
21,0,ZINCky000001sSGq,0.9277684,0.94751287,0.9499826,0.9499826,0,0.92221487,0.80668265,0.34125632,0.53697515,[0.94820327 0.8786695 ],"[array([0.94820327, 0.504087  ], dtype=float32)
 array([0.9499826, 0.8786695], dtype=float32)]",-0.63977706,0.59269214,-1.1859717,0.89111376,-0.09358242,0.29427046
22,0,ZINCmr000004354I,0.96414566,0.95663375,0.97869354,0.97869354,0,0.9605087,0.9679885,0.3027258,0.37748897,[0.95503145 0.93789893],"[array([0.95503145, 0.6584455 ], dtype=float32)
 array([0.97869354, 0.93789893], dtype=float32)]",0.26338413,0.6125708,-0.03671325,0.70648515,0.5634815,0.5186565
23,0,ZINClF000003hkwl,0.9488595,0.95416707,0.9620519,0.9620519,0,0.94556135,0.9035675,0.32253236,0.4813236,[0.95401186 0.8683446 ],"[array([0.95401186, 0.53828883], dtype=float32)
 array([0.9620519, 0.8683446], dtype=float32)]",-0.7921376,0.82075775,-1.1036308,0.8877114,-0.4806444,0.75380415
24,0,ZINCpK000002io2O,0.91967326,0.94106877,0.9281823,0.9281823,0,0.917546,0.8112535,0.3769294,0.6797448,[0.9442868  0.84668875],"[array([0.9442868, 0.4740168], dtype=float32)
 array([0.9281823 , 0.84668875], dtype=float32)]",-0.4562871,0.7317206,-0.62538636,0.8069283,-0.2871878,0.656513
25,0,ZINCip0000022jC2,0.9512642,0.9659612,0.9734106,0.9734106,0,0.9457276,0.9166197,0.30117616,0.40401137,[0.96555287 0.96083254],"[array([0.96555287, 0.68723965], dtype=float32)
 array([0.9734106 , 0.96083254], dtype=float32)]",0.22699276,0.6278749,-0.34311593,0.89769864,0.79710144,0.3580512
26,0,ZINCpw000000nuds,0.9683167,0.97213,0.98922753,0.98922753,0,0.9630889,0.9746312,0.27398288,0.2921077,[0.97004604 0.98278433],"[array([0.97004604, 0.8602559 ], dtype=float32)
 array([0.98922753, 0.98278433], dtype=float32)]",0.47336662,0.4335456,0.90566194,0.5059781,0.04107132,0.3611131
27,0,ZINCom00000qn5AP,0.95921963,0.95582664,0.97702664,0.97702664,0,0.9547679,0.9674668,0.31614846,0.3865853,[0.9538182 0.9138251],"[array([0.9538182 , 0.66192216], dtype=float32)
 array([0.97702664, 0.9138251 ], dtype=float32)]",1.097097,0.693824,1.1840569,0.9453509,1.0101372,0.44229713
28,0,ZINCjz000003vS6I,0.9346103,0.9567752,0.973826,0.973826,0,0.9248063,0.8021224,0.30691308,0.39789835,[0.95524955 0.9074849 ],"[array([0.95524955, 0.62439317], dtype=float32)
 array([0.973826 , 0.9074849], dtype=float32)]",-0.41233808,0.5858797,-0.3656599,0.7451888,-0.45901626,0.42657056
29,0,ZINCiy000001Wk2z,0.9473061,0.9507849,0.96516365,0.96516365,0,0.9428417,0.89509875,0.32806754,0.46650487,[0.9501205  0.91534346],"[array([0.9501205 , 0.60359985], dtype=float32)
 array([0.96516365, 0.91534346], dtype=float32)]",0.28910094,0.58954096,-0.010760753,0.663551,0.5889626,0.51553094
